date,tk,label,whole,idx,k,s,mass,n,age_h,z,n_arts,hit,nz
2026-06-17,ADBE,-3.1383737517831634,-0.85,0,3,-0.35,4.279532385598251,6,17.07416089361111,-0.18175668426933636,12,True,True
2026-06-17,ADBE,-3.1383737517831634,-0.85,1,3,-0.65,1.0138846960424992,3,29.313327560277777,1.373152226776036,12,True,True
2026-06-17,ADBE,-3.1383737517831634,-0.85,2,3,-0.05,0.05185605808854648,3,123.8330497825,0.4921798884852181,12,True,True
2026-06-17,ADPT,6.615017878426688,0.65,0,3,-0.15,1.4110379049661042,2,13.840827560277777,-0.6561147671010207,8,False,True
2026-06-17,ADPT,6.615017878426688,0.65,1,3,0.45,0.7942308673675323,5,73.40666089361112,-0.8772608904594174,8,True,True
2026-06-17,ADPT,6.615017878426688,0.65,2,3,0.05,0.00590558746694283,1,134.10749422694445,-0.8772608904594174,8,True,True
2026-06-17,AMAT,8.139377993658492,0.25,0,2,0.45,10.783747644406514,15,23.486383115833334,0.5305498595280655,20,True,True
2026-06-17,AMAT,8.139377993658492,0.25,1,2,0.25,1.737685041278141,5,31.107494226944443,1.5212166712559645,20,True,True
2026-06-17,AMKR,11.408075899571912,0.75,0,3,0.75,2.756177521781785,5,25.840272004722223,0.6247421299887214,13,True,True
2026-06-17,AMKR,11.408075899571912,0.75,1,3,0.45,0.5929623827297746,3,59.02416089361111,0.5908077389156674,13,True,True
2026-06-17,AMKR,11.408075899571912,0.75,2,3,-0.15,0.04135073938219686,5,144.34721644916667,1.6256578135814337,13,False,True
2026-06-17,ARM,8.073911382734899,0.75,0,3,0.05,2.4246266910117598,3,11.077494226944445,0.3527689738894251,10,True,True
2026-06-17,ARM,8.073911382734899,0.75,1,3,0.25,0.5640319139000942,2,34.97416089361111,1.0548803041122596,10,True,True
2026-06-17,ARM,8.073911382734899,0.75,2,3,0.65,0.04510194014956408,5,128.08638311583334,0.8963861557559,10,True,True
2026-06-17,BBY,-0.8069767441860498,0.15,0,2,0.0,0.8247554742943137,4,76.34082756027779,-0.978085323016293,7,False,False
2026-06-17,BBY,-0.8069767441860498,0.15,1,2,0.15,0.017465116242539266,3,157.22888311583333,-0.6267192332356429,7,False,True
2026-06-17,BMO,2.508243052284498,-0.05,0,3,0.0,4.100955184480932,5,10.404160893611111,-0.0,18,False,False
2026-06-17,BMO,2.508243052284498,-0.05,1,3,-0.15,2.0307099169651606,9,61.59082756027777,-0.6165875500862968,18,False,True
2026-06-17,BMO,2.508243052284498,-0.05,2,3,0.15,0.04476523625256835,4,156.90693867138887,-0.942569384639774,18,True,True
2026-06-17,BRK-B,-1.1215600065136,0.0,0,2,0.0,0.9327648607160361,2,32.17416089361111,,5,False,False
2026-06-17,BRK-B,-1.1215600065136,0.0,1,2,0.25,0.34604091347874283,3,92.4419386713889,,5,False,True
2026-06-17,BROS,9.129640900791225,0.55,0,2,0.45,4.391309643153953,6,11.640827560277778,0.20651259713893053,10,True,True
2026-06-17,BROS,9.129640900791225,0.55,1,2,-0.15,0.24302049398607617,4,135.7908275602778,0.06587810110543105,10,False,True
2026-06-17,COCO,2.6183644189383015,0.05,0,1,-0.05,0.10080873297859251,3,123.19416089361111,0.5068676721538709,3,False,True
2026-06-17,CRS,3.8316506507724,0.15,0,2,0.0,0.667448484500936,1,11.339716449166668,-0.023155128066713902,3,False,False
